date,variable,strat,type,median,mean,sd,upper,lower,bottom,top
2020-08-21,reported_cases,NA,positivity-adjusted reported cases,187.5,175.16666666666666,172.2228119898667,190,0,0,325
2020-08-22,reported_cases,NA,positivity-adjusted reported cases,203,1015,2888.2674580258163,204,0,0,472
2020-08-23,reported_cases,NA,positivity-adjusted reported cases,65,189.08333333333334,275.64287116528595,66,0,0,434
2020-08-24,reported_cases,NA,positivity-adjusted reported cases,181.5,7709646,26705340.079181105,187,0,0,3599
2020-08-25,reported_cases,NA,positivity-adjusted reported cases,205.5,1976.0833333333333,6153.103229758185,239,0,0,617
2020-08-26,reported_cases,NA,positivity-adjusted reported cases,125,122.75,105.08968031681755,164,45,0,242
2020-08-27,reported_cases,NA,positivity-adjusted reported cases,159,610.5833333333334,1521.1402695665413,178,0,0,672
2020-08-28,reported_cases,NA,positivity-adjusted reported cases,66.5,109665.58333333333,379543.1831062797,77,0,0,396
2020-08-29,reported_cases,NA,positivity-adjusted reported cases,105.5,660952.25,1677209.3731897813,139,0,0,10270
2020-08-30,reported_cases,NA,positivity-adjusted reported cases,145.5,7633.083333333333,19822.362396859367,146,0,0,10270
2020-08-31,reported_cases,NA,positivity-adjusted reported cases,55.5,2315119.4166666665,8019613.661380345,70,0,0,207
2020-09-01,reported_cases,NA,positivity-adjusted reported cases,102,62948.75,178435.59341837655,130,0,0,10270
2020-09-02,reported_cases,NA,positivity-adjusted reported cases,78,355953.6666666667,1232554.5623200866,87,0,0,799
2020-09-03,reported_cases,NA,positivity-adjusted reported cases,59,4510,15361.045383460309,100,0,0,247
2020-09-04,reported_cases,NA,positivity-adjusted reported cases,27,2981.75,10196.569129993051,35,0,0,105
2020-09-05,reported_cases,NA,positivity-adjusted reported cases,57,1159144.6666666667,4015149.9064085297,57,0,0,237
2020-09-06,reported_cases,NA,positivity-adjusted reported cases,24.5,173282.75,536643.557748636,31,0,0,10270
2020-09-07,reported_cases,NA,positivity-adjusted reported cases,44,155902.75,394439.7508603183,50,0,0,10270
2020-09-08,reported_cases,NA,positivity-adjusted reported cases,56.5,2375020.25,8227135.4447930325,59,0,0,146
2020-09-09,reported_cases,NA,positivity-adjusted reported cases,34.5,309.75,856.2205668464809,42,0,0,247
2020-09-10,reported_cases,NA,positivity-adjusted reported cases,33.5,1018683.9166666666,3528699.8935607085,35,0,0,115
2020-09-11,reported_cases,NA,positivity-adjusted reported cases,28,88404.91666666667,306134.02447723574,32,0,0,86
2020-09-12,reported_cases,NA,positivity-adjusted reported cases,43.5,20661.416666666668,70209.79361684306,52,0,0,3875
2020-09-13,reported_cases,NA,positivity-adjusted reported cases,15,3341.1666666666665,11502.360902585753,17,0,0,70
2020-09-14,reported_cases,NA,positivity-adjusted reported cases,21,801770.5833333334,2777297.9385957285,26,0,0,209
2020-09-15,reported_cases,NA,positivity-adjusted reported cases,38.5,4010.75,13232.334646786465,50,0,0,1826
2020-09-16,reported_cases,NA,positivity-adjusted reported cases,12.5,71229.41666666667,246663.74790038593,14,0,0,165
2020-09-17,reported_cases,NA,positivity-adjusted reported cases,20,8749.75,30232.87905011845,21,0,0,81
2020-09-18,reported_cases,NA,positivity-adjusted reported cases,16,1096748,3799057.2534593367,23,0,0,320
2020-09-19,reported_cases,NA,positivity-adjusted reported cases,27,167877.58333333334,581444.549341076,28,0,0,86
2020-09-20,reported_cases,NA,positivity-adjusted reported cases,21,3674.25,11610.492998106967,21,0,0,3491
2020-09-21,reported_cases,NA,positivity-adjusted reported cases,18,156.41666666666666,498.2141668606043,19,0,0,29
2020-09-22,reported_cases,NA,positivity-adjusted reported cases,18,326201.1666666667,1129918.0932811685,23,0,0,81
2020-09-23,reported_cases,NA,positivity-adjusted reported cases,12,80562.25,279033.62160992355,15,0,0,39
2020-09-24,reported_cases,NA,positivity-adjusted reported cases,19,387178.5,911855.7052624759,25,0,0,10270
2020-09-25,reported_cases,NA,positivity-adjusted reported cases,13,859289.4166666666,2975344.3741836753,16,0,0,4083
2020-09-26,reported_cases,NA,positivity-adjusted reported cases,10,172.66666666666666,561.741178404389,13,0,0,41
2020-09-27,reported_cases,NA,positivity-adjusted reported cases,11,10269.5,34910.16677520643,17,0,0,2019
2020-09-28,reported_cases,NA,positivity-adjusted reported cases,9,916558.4166666666,3174983.4694527853,9,0,0,149
2020-09-29,reported_cases,NA,positivity-adjusted reported cases,11.5,7115480.083333333,22656859.995978728,12,0,0,10270
2020-09-30,reported_cases,NA,positivity-adjusted reported cases,4.5,6870.916666666667,23769.749313927772,6,0,0,31
2020-10-01,reported_cases,NA,positivity-adjusted reported cases,2.5,51991.666666666664,180075.75929406303,3,0,0,40
2020-10-02,reported_cases,NA,positivity-adjusted reported cases,5,10.333333333333334,12.309149097933272,7,0,0,25
2020-10-03,reported_cases,NA,positivity-adjusted reported cases,10,481561.8333333333,1668132.5167965977,14,0,0,51
2020-10-04,reported_cases,NA,positivity-adjusted reported cases,4.5,11871387,41101126.78432675,5,0,0,10270
2020-10-05,reported_cases,NA,positivity-adjusted reported cases,6,3422822,11855984.493030628,6,0,0,3187
2020-10-06,reported_cases,NA,positivity-adjusted reported cases,8.5,2120867.5,7110269.69340943,11,0,0,10270
2020-10-07,reported_cases,NA,positivity-adjusted reported cases,3.5,5.166666666666667,5.540484608494973,5,0,0,12
2020-10-08,reported_cases,NA,positivity-adjusted reported cases,12,1390276.3333333333,4812872.376532983,12,0,0,10009
2020-10-09,reported_cases,NA,positivity-adjusted reported cases,5.5,1603474.5833333333,5554413.409100656,6,0,0,529
2020-10-10,reported_cases,NA,positivity-adjusted reported cases,7,1902294.0833333333,4458864.574551309,8,0,0,10270
2020-10-11,reported_cases,NA,positivity-adjusted reported cases,3.5,57805.083333333336,200223.78757210568,5,0,0,21
2020-10-12,reported_cases,NA,positivity-adjusted reported cases,4.5,116147.83333333333,401381.7248115526,6,0,0,3029
2020-10-13,reported_cases,NA,positivity-adjusted reported cases,3.5,3719630.8333333335,12881439.34081279,5,0,0,10270
